high_conf,med_conf,low_conf,high_sev,med_sev,low_sev,unique_cwes,total_unique_cwes,repo,commit
5365,146,72,97,414,5072,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,569081a9ebd1739fe7342767add1b43abe06d668
5371,144,71,99,411,5076,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,58fc6d9cf882ac60ce1c73f22879b6806a307120
5360,143,71,99,410,5065,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,5c06b8ff000ed5d35f48ff9841c7640c5fafd42f
5368,143,72,99,412,5072,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,5cf7725f0e3cdde8b2e7e322e5fd344afcd3fe55
5363,142,72,97,410,5070,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,5f01fc83073ed8cf000e530269f1be2d98891907
5371,144,71,99,411,5076,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,62a99c88d2a8e60b76ee8831db1fa47efd301791
5347,143,71,100,411,5050,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,651ba0b11cf32154b505be69cc70d31a5043572d
5365,146,72,97,414,5072,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,65afd405b1f09ca8801c9733ac1c913b39198148
5363,142,72,97,410,5070,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,6740202d780e87a450725d5bc7c293352de473b7
5368,143,72,99,412,5072,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,6b3e297db8c33e0b11b19c497d799d864ab0335b
5363,142,72,97,410,5070,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,6b47510f70f68d33cc7e57d81cc302c4a5507a0e
5372,144,71,99,411,5077,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,71c02ca4ebef208dc823437c0f9a56816b4141e5
5346,142,72,97,410,5053,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,73a75bb4c9fdc7cddc998a01e803fee7d7ef8b7e
